employee_id,name,department,level,gender,birth_year,hire_date,exit_date,exit_type,regretted,base_salary_usd
FL0037,Priya Larsen,Research,L4,Woman,1974,2017-06-22,,,,129800
FL0038,Sara Chen,Research,L4,Woman,1981,2014-02-21,,,,122700
FL0039,Ingrid Larsen,Research,L3,Woman,1986,2016-04-05,,,,113300
FL0040,Omar Holm,Research,L4,Man,1984,2016-11-19,,,,162300
FL0041,Daniel Walsh,Research,L2,Man,1989,2022-02-01,,,,98500
FL0042,Ruth Holm,Research,L3,Woman,1984,2013-03-12,,,,114000
FL0043,James Haddad,Research,L4,Man,1987,2017-05-09,,,,154300
FL0044,Yusuf Lindqvist,Research,L1,Man,2000,2024-01-26,,,,65400
FL0045,Samuel Nguyen,Research,L6,Man,1978,2013-10-12,,,,225400
FL0046,Maya Patel,Research,L2,Woman,1997,2021-12-21,,,,96100
FL0047,Tomas Silva,Research,L3,Man,1984,2022-01-18,,,,113900
FL0048,Mateo Abara,Research,L1,Man,1999,2022-09-05,,,,82000
FL0049,Ruth Tanaka,Research,L4,Woman,1983,2022-07-27,,,,130800
FL0050,Lukas Dubois,Research,L6,Man,1969,2023-12-30,,,,232100
FL0051,Nadia Kim,Research,L2,Woman,1999,2022-09-07,,,,96600
FL0052,Elena Adeyemi,Research,L2,Woman,1990,2022-11-10,,,,89700
FL0053,Elena Tanaka,Research,L2,Woman,1995,2021-04-26,,,,96200
FL0054,Noor Okafor,Research,L1,Woman,2003,2024-10-09,,,,81400
FL0055,James Haddad,Research,L4,Man,1981,2012-06-14,,,,147500
FL0056,Aisha Patel,Research,L2,Woman,1987,2022-01-23,,,,82200
FL0057,Nadia Mensah,Research,L2,Woman,1987,2018-08-12,,,,97800
FL0058,Priya Iyer,Research,L3,Woman,1983,2023-05-15,,,,123800
FL0059,Omar Haddad,Research,L4,Man,1976,2015-07-08,,,,148400
FL0060,Noor Tanaka,Research,L3,Woman,1984,2022-05-22,,,,122700
FL0061,Maya Larsen,Research,L3,Woman,1983,2014-02-21,,,,108700
FL0062,Arjun Chen,Research,L5,Man,1976,2010-02-18,,,,176900
FL0063,Hannah Nguyen,Research,L3,Woman,1984,2016-08-16,,,,106400
FL0064,Zara Novak,Research,L3,Woman,1977,2021-06-05,,,,99200
FL0065,Ingrid Raman,Research,L3,Woman,1987,2023-10-05,2025-10-08,Voluntary,No,100700
FL0066,Hannah Holm,Research,L2,Woman,1988,2022-09-14,,,,92500
FL0067,Marco Abara,Research,L2,Man,1996,2020-11-03,,,,97500
FL0068,Noor Patel,Research,L2,Woman,1988,2022-02-02,,,,91200
FL0069,Rahul Rossi,Research,L2,Man,1998,2022-06-09,,,,101100
FL0070,Ali Dubois,Research,L2,Man,1994,2023-11-20,,,,88600
FL0071,Zara Tanaka,Research,L3,Woman,1980,2020-06-05,,,,117900
FL0072,Tomas Okafor,Research,L4,Man,1981,2019-08-04,,,,167600
FL0073,Diego Raman,Research,L4,Man,1972,2023-04-26,,,,170600
FL0074,Rahul Costa,Research,L3,Man,1987,2017-12-24,,,,131100
FL0075,Aisha Moreau,Research,L1,Woman,2000,2024-05-29,,,,81400
FL0076,Clara Ferreira,Research,L2,Woman,1992,2017-03-18,,,,101100
FL0077,Grace Rossi,Research,L2,Woman,1995,2021-04-29,,,,103700
FL0078,Kenji Tanaka,Research,L1,Man,1995,2021-05-25,,,,74200
FL0079,Elena Chen,Research,L1,Woman,2001,2023-02-20,,,,69200
FL0080,James Dubois,Research,L1,Man,2000,2024-04-21,,,,81500
FL0081,Kenji Schmidt,Research,L2,Man,1987,2017-09-21,,,,91300
FL0082,Hannah Byrne,Research,L2,Woman,1989,2021-03-11,,,,80600
FL0083,Keiko Dubois,Research,L1,Woman,1993,2024-04-06,,,,80300
FL0084,Arjun Tanaka,Research,L6,Man,1980,2016-02-02,,,,267600
FL0085,Leon Moreau,Research,L1,Man,2000,2022-11-15,2025-09-18,Voluntary,Yes,65100
FL0086,Oscar Sato,Research,L3,Man,1993,2018-03-11,,,,122500
FL0087,Clara Ferreira,Research,L1,Woman,1994,2022-08-08,,,,60700
FL0088,Omar Kowalski,Research,L3,Man,1994,2020-10-15,,,,104600
FL0089,Kenji Patel,Research,L2,Man,1999,2024-06-14,2025-09-02,Voluntary,No,87600
FL0090,Hiro Ferreira,Research,L1,Man,1992,2022-04-16,,,,73600
FL0091,Keiko Holm,Research,L2,Woman,1991,2017-05-16,,,,98300
FL0092,Sofia Tanaka,Research,L2,Woman,1995,2017-02-13,,,,97100
FL0093,Clara Iyer,Research,L3,Woman,1981,2024-06-20,,,,98900
FL0094,Aisha Mensah,Research,L2,Woman,1986,2024-02-28,,,,88500
FL0095,Yuki Larsen,Research,L2,Woman,1995,2019-12-15,,,,100500
FL0096,Sara Patel,Research,L2,Woman,1997,2019-06-27,,,,101300
FL0097,Omar Kim,Research,L2,Man,1991,2021-06-30,,,,99100
FL0098,Samuel Ortiz,Research,L4,Man,1987,2018-05-25,,,,151300
FL0099,Ethan Haddad,Research,L1,Man,1997,2023-09-12,,,,66300
FL0100,Ethan Byrne,Research,L3,Man,1986,2021-07-03,,,,124300
FL0101,Ifeoma Tanaka,Research,L2,Woman,1993,2023-08-02,2025-10-17,Voluntary,Yes,99900
FL0102,Chloe Yilmaz,Research,L3,Woman,1978,2021-08-31,,,,115000
FL0103,Noah Iyer,Research,L3,Man,1982,2019-04-16,,,,115800
FL0104,Sara Lindqvist,Research,L4,Woman,1984,2010-06-06,,,,135600
FL0105,Lucia Yilmaz,Research,L3,Woman,1981,2021-08-09,,,,110800
FL0106,Chloe Novak,Research,L1,Woman,1999,2024-06-30,,,,63900
FL0107,Samuel Byrne,Research,L2,Man,1993,2021-04-02,,,,82900
FL0108,Kofi Lindqvist,Research,L1,Man,2000,2024-07-05,,,,69400
FL0109,Fatima Larsen,Research,L4,Woman,1971,2019-11-07,,,,163900
FL0110,Marco Lindqvist,Research,L1,Man,1995,2024-02-23,,,,73800
FL0111,Felix Nguyen,Research,L5,Man,1980,2011-10-31,,,,174200
FL0112,Felix Brennan,Research,L4,Man,1991,2017-01-14,2025-09-26,Involuntary,No,135100
FL0113,Wei Holm,Research,L4,Man,1974,2015-02-19,,,,143700
FL0114,Diego Silva,Research,L2,Man,1989,2020-08-29,,,,101900
FL0115,Leon Brennan,Research,L2,Man,2000,2024-11-03,,,,89300
FL0116,Omar Sato,Research,L4,Man,1976,2012-10-25,2025-01-12,Voluntary,No,144400
FL0117,Clara Byrne,Research,L2,Woman,1999,2023-04-12,,,,92800
FL0118,Omar Dubois,Research,L3,Man,1988,2022-05-09,,,,119500
FL0119,Yuki Kim,Research,L1,Woman,1994,2022-11-08,,,,76000
FL0120,Omar Lindqvist,Research,L2,Man,1995,2021-02-23,,,,94000
FL0121,Nadia Adeyemi,Research,L4,Woman,1988,2022-06-21,2025-07-11,Voluntary,No,133900
FL0122,James Moreau,Research,L1,Man,2001,2023-02-13,,,,79800
FL0123,Ifeoma Haddad,Research,L2,Woman,1994,2023-09-09,,,,91100
FL0124,James Sato,Research,L1,Man,1995,2021-06-25,,,,78700
FL0125,Daniel Costa,Research,L2,Man,1989,2018-01-22,,,,100200
FL0126,Lucia Mensah,Research,L1,Woman,1994,2021-03-18,,,,69100
FL0127,Ana Schmidt,Research,L2,Woman,1997,2023-07-24,,,,88900
FL0128,Keiko Yilmaz,Research,L1,Woman,2002,2024-05-05,,,,77200
FL0129,Lucia Holm,Research,L1,Woman,2000,2023-07-18,2025-05-01,Voluntary,Yes,68800
FL0130,Hiro Chen,Research,L3,Man,1988,2016-05-24,,,,111300
FL0131,Noah Okafor,Research,L3,Man,1984,2016-08-17,,,,112600
FL0132,Ruth Larsen,Research,L2,Woman,1986,2017-04-02,,,,84400
FL0133,Grace Okafor,Research,L4,Woman,1984,2015-04-21,,,,130300
FL0134,James Kim,Research,L4,Man,1971,2010-07-29,,,,153200
FL0135,Keiko Rossi,Research,L5,Woman,1984,2012-08-25,,,,163300
FL0136,Felix Lindqvist,Research,L3,Man,1979,2023-01-24,2025-02-14,Voluntary,No,133800
FL0137,Diego Adeyemi,Research,L2,Man,1987,2023-12-31,,,,80900
FL0138,Ingrid Schmidt,Research,L1,Woman,1998,2021-07-01,,,,72500
FL0139,Tomas Okafor,Research,L4,Man,1990,2015-04-09,,,,167400
FL0140,Arjun Sato,Research,L6,Man,1964,2009-03-09,,,,244700
FL0141,Chloe Walsh,Research,L4,Woman,1979,2014-02-22,,,,128200
FL0142,Maya Kowalski,Research,L4,Woman,1981,2022-08-19,,,,161800
FL0143,Olivia Abara,Research,L3,Woman,1987,2013-12-30,,,,122600
FL0144,Samuel Walsh,Research,L2,Man,1987,2019-12-11,,,,104700
FL0145,Hiro Kowalski,Research,L3,Man,1991,2024-02-20,,,,123300
FL0146,Wei Costa,Research,L1,Man,1998,2021-09-16,,,,80700
FL0147,Maya Larsen,Research,L4,Woman,1976,2013-09-20,,,,142500
FL0148,Ana Okafor,Research,L4,Woman,1973,2016-02-07,,,,158500
FL0149,Sofia Chen,Research,L3,Woman,1996,2020-05-16,,,,128100
FL0150,Keiko Okafor,Research,L2,Woman,1996,2024-04-23,,,,92700
FL0151,Mateo Walsh,Research,L2,Man,1992,2023-02-07,,,,87500
FL0152,Daniel Ferreira,Research,L2,Man,1986,2023-10-20,,,,89800
FL0153,Priya Holm,Research,L2,Woman,1992,2018-09-28,,,,86400
FL0154,Hannah Larsen,Research,L5,Woman,1968,2013-08-05,,,,176300
FL0155,Oscar Ortiz,Research,L2,Man,1998,2022-12-21,,,,101900
FL0156,Sara Patel,Research,L2,Woman,1996,2023-08-14,,,,86500
FL0157,Nadia Haddad,Research,L2,Woman,1994,2017-07-25,,,,76400
FL0158,Noor Nguyen,Research,L2,Woman,1999,2021-12-25,,,,92800
FL0159,Arjun Ortiz,Research,L2,Man,1994,2021-12-07,,,,86000
FL0160,Ethan Raman,Research,L2,Man,1990,2022-02-23,,,,89600
FL0161,Sofia Holm,Research,L2,Woman,1999,2022-12-28,,,,91000
FL0162,Omar Moreau,Research,L1,Man,2003,2024-07-19,,,,65600
FL0163,Ifeoma Abara,Research,L3,Woman,1979,2024-08-05,2025-01-08,Involuntary,No,126800
FL0164,Ifeoma Adeyemi,Research,L1,Woman,1997,2021-08-29,,,,79100
FL0165,Lucia Okafor,Research,L2,Woman,1995,2024-05-16,2025-12-01,Voluntary,No,91700
FL0166,Sara Novak,Research,L4,Woman,1972,2014-12-18,2025-02-26,Voluntary,No,129900
FL0167,Zara Patel,Research,L1,Woman,2000,2022-03-12,,,,61100
FL0168,Noor Larsen,Research,L2,Woman,1998,2020-12-10,,,,87000
FL0169,Sara Chen,Research,L5,Woman,1965,2022-09-07,,,,169700
FL0170,Diego Iyer,Research,L1,Man,1997,2024-07-01,,,,72600
FL0171,Wei Costa,Clinical,L3,Man,1986,2016-04-02,,,,113700
FL0172,Amara Chen,Clinical,L1,Woman,1993,2024-01-29,2025-02-04,Voluntary,No,62600
FL0173,Fatima Adeyemi,Clinical,L1,Woman,1998,2024-04-28,,,,68200
FL0174,Mei Adeyemi,Clinical,L3,Woman,1983,2022-10-03,,,,128100
FL0175,Olivia Okafor,Clinical,L1,Woman,1992,2022-01-17,,,,68900
FL0176,Fatima Yilmaz,Clinical,L2,Woman,1987,2019-01-03,,,,78700
FL0177,Elena Kowalski,Clinical,L1,Woman,1994,2024-06-01,2025-04-26,Voluntary,No,77800
FL0178,Elena Moreau,Clinical,L3,Woman,1980,2021-10-18,,,,129800
FL0179,Wei Yilmaz,Clinical,L2,Man,1997,2024-01-30,,,,84400
FL0180,Kenji Iyer,Clinical,L1,Man,2001,2024-10-22,,,,77800
FL0181,Omar Nguyen,Clinical,L1,Man,2001,2024-10-10,,,,66700
FL0182,Wei Byrne,Clinical,L2,Man,1992,2019-09-03,,,,90100
FL0183,Aisha Haddad,Clinical,L1,Woman,2002,2024-08-20,,,,62200
FL0184,Hannah Iyer,Clinical,L1,Woman,1994,2021-10-15,,,,63300
FL0185,Clara Rossi,Clinical,L1,Woman,1994,2023-08-11,,,,63300
FL0186,Hannah Adeyemi,Clinical,L4,Woman,1985,2019-02-26,,,,123100
FL0187,Ivan Nguyen,Clinical,L3,Man,1981,2013-11-04,,,,109200
FL0188,Leon Mensah,Clinical,L4,Man,1970,2022-12-02,,,,149600
FL0189,Clara Brennan,Clinical,L4,Woman,1981,2012-05-29,,,,139400
FL0190,James Nguyen,Clinical,L6,Man,1968,2010-04-25,,,,259400
FL0191,Elena Sato,Clinical,L2,Woman,1989,2019-05-12,,,,98700
FL0192,Ali Mensah,Clinical,L1,Man,1996,2024-05-31,2025-03-01,Voluntary,No,80400
FL0193,Ingrid Rossi,Clinical,L3,Woman,1996,2023-08-27,,,,120100
FL0194,Lukas Schmidt,Clinical,L2,Man,1991,2022-10-16,,,,81200
FL0195,Oscar Rossi,Clinical,L6,Man,1975,2013-05-10,,,,294900
FL0196,Marco Moreau,Clinical,L4,Man,1979,2022-02-05,,,,135700
FL0197,Ifeoma Silva,Clinical,L3,Woman,1989,2023-12-21,,,,108400
FL0198,Noah Chen,Clinical,L2,Man,1996,2022-06-27,,,,89400
FL0199,Rahul Larsen,Clinical,L3,Man,1984,2020-09-14,,,,112800
FL0200,Ethan Schmidt,Clinical,L2,Man,1993,2021-06-26,,,,79400
FL0201,Arjun Adeyemi,Clinical,L2,Man,1985,2024-06-08,,,,100200
FL0202,Ana Novak,Clinical,L3,Woman,1992,2022-03-06,,,,106000
FL0203,Chloe Dubois,Clinical,L1,Woman,1992,2021-01-19,2025-07-05,Voluntary,No,68300
FL0204,Daniel Walsh,Clinical,L4,Man,1978,2010-05-16,,,,157200
FL0205,Arjun Kim,Clinical,L1,Man,1993,2022-11-03,,,,81700
FL0206,Aisha Lindqvist,Clinical,L4,Woman,1981,2022-08-21,,,,128200
FL0207,James Sato,Clinical,L4,Man,1980,2022-08-14,,,,149700
FL0208,Kofi Lindqvist,Clinical,L3,Man,1993,2018-01-21,,,,134400
FL0209,Sara Ferreira,Clinical,L6,Woman,1967,2011-05-19,,,,240800
FL0210,Tomas Rossi,Clinical,L2,Man,1995,2021-12-05,,,,96200
FL0211,Maya Ferreira,Clinical,L3,Woman,1983,2020-03-06,,,,119400
FL0212,Grace Holm,Clinical,L1,Woman,1993,2021-07-02,,,,78000
FL0213,Noah Costa,Clinical,L5,Man,1969,2020-11-11,,,,192500
FL0214,Leah Brennan,Clinical,L2,Woman,1993,2018-06-10,,,,92500
FL0215,Keiko Kowalski,Clinical,L3,Woman,1988,2019-09-22,,,,124200
FL0216,Arjun Novak,Clinical,L1,Man,1998,2024-03-17,,,,78400
FL0217,Maya Holm,Clinical,L3,Woman,1987,2018-09-19,,,,103800
FL0218,Daniel Kowalski,Clinical,L1,Man,2002,2024-09-11,,,,62000
FL0219,Hannah Moreau,Clinical,L3,Woman,1984,2015-10-23,,,,121200
FL0220,Wei Raman,Clinical,L4,Man,1992,2020-07-28,2025-04-15,Involuntary,No,159500
FL0221,Tomas Kowalski,Clinical,L2,Man,1990,2017-08-17,,,,90400
FL0222,Kofi Costa,Clinical,L1,Man,1997,2022-11-06,,,,65700
FL0223,Ingrid Abara,Clinical,L2,Woman,1998,2023-08-28,,,,86000
FL0224,Chidi Lindqvist,Clinical,L4,Man,1972,2024-08-18,,,,170100
FL0225,Priya Lindqvist,Clinical,L1,Woman,1999,2021-07-18,,,,75000
FL0226,Felix Costa,Clinical,L1,Man,1995,2022-02-12,,,,71400
FL0227,Felix Adeyemi,Clinical,L3,Man,1995,2022-02-23,,,,111000
FL0228,Sara Costa,Clinical,L1,Woman,1996,2021-04-21,,,,75500
FL0229,Noor Iyer,Clinical,L1,Woman,1994,2022-07-04,,,,70900
FL0230,Ethan Patel,Clinical,L2,Man,1997,2023-10-03,,,,105400
FL0231,Noor Raman,Clinical,L4,Woman,1992,2016-12-08,,,,137600
FL0232,Paul Nguyen,Clinical,L3,Man,1977,2022-07-08,,,,108200
FL0233,Lucia Kowalski,Clinical,L1,Woman,1998,2023-11-25,,,,62200
FL0234,Marco Byrne,Clinical,L3,Man,1978,2023-09-14,,,,134100
FL0235,Chloe Costa,Clinical,L3,Woman,1982,2015-09-24,,,,100500
FL0236,Tomas Novak,Clinical,L2,Man,1993,2018-12-08,,,,104900
FL0237,Ingrid Costa,Clinical,L1,Woman,2001,2024-10-03,,,,71800
FL0238,Ifeoma Byrne,Clinical,L3,Woman,1994,2023-07-01,,,,130500
FL0239,Kofi Kim,Clinical,L4,Man,1982,2010-07-09,,,,170900
FL0240,Ivan Silva,Clinical,L1,Man,1994,2022-07-22,,,,76700
FL0241,Clara Abara,Clinical,L4,Woman,1980,2012-12-11,,,,140500
FL0242,Wei Lindqvist,Clinical,L1,Man,1993,2022-12-14,,,,72200
FL0243,Chloe Silva,Clinical,L2,Woman,1988,2017-10-06,,,,97600
FL0244,Samuel Silva,Clinical,L1,Man,1997,2024-05-06,,,,72700
FL0245,Noor Dubois,Clinical,L2,Woman,1988,2023-09-24,,,,80500
FL0246,Marco Costa,Clinical,L1,Man,1992,2022-11-29,,,,67900
FL0247,Ali Silva,Clinical,L2,Man,1991,2022-03-13,,,,78900
FL0248,Ivan Byrne,Clinical,L3,Man,1981,2016-11-14,,,,113300
FL0249,Leon Moreau,Clinical,L3,Man,1994,2019-01-02,2025-08-27,Voluntary,No,133100
FL0250,Chidi Mensah,Clinical,L4,Man,1987,2015-01-27,,,,135900
FL0251,Ivan Dubois,Clinical,L3,Man,1990,2022-06-21,,,,120200
FL0252,Grace Adeyemi,Clinical,L5,Woman,1971,2012-10-05,,,,206100
FL0253,Marco Tanaka,Clinical,L1,Man,1997,2024-04-02,,,,64600
FL0254,Sofia Larsen,Clinical,L5,Woman,1980,2019-05-23,,,,185800
FL0255,Ivan Ferreira,Clinical,L3,Man,1996,2018-08-25,,,,125700
FL0256,Mateo Mensah,Clinical,L3,Man,1979,2023-09-26,,,,103000
FL0257,Marco Larsen,Manufacturing,L6,Man,1966,2020-10-23,,,,302100
FL0258,Wei Silva,Manufacturing,L4,Man,1992,2019-03-13,,,,141400
FL0259,James Brennan,Manufacturing,L5,Man,1984,2024-03-03,,,,199500
FL0260,Omar Chen,Manufacturing,L5,Man,1983,2017-08-08,,,,221100
FL0261,Hiro Yilmaz,Manufacturing,L2,Man,1992,2023-05-07,,,,99600
FL0262,Clara Iyer,Manufacturing,L2,Woman,1993,2024-01-21,,,,90800
FL0263,Ethan Ferreira,Manufacturing,L4,Man,1974,2011-04-02,2025-04-18,Involuntary,No,131100
FL0264,Samuel Patel,Manufacturing,L3,Man,1993,2021-06-05,,,,135100
FL0265,Sofia Byrne,Manufacturing,L1,Woman,1994,2023-12-19,,,,63100
FL0266,Yusuf Costa,Manufacturing,L4,Man,1984,2018-08-11,,,,129000
FL0267,Clara Schmidt,Manufacturing,L2,Woman,1991,2020-08-26,,,,87500
FL0268,Maya Larsen,Manufacturing,L2,Woman,1989,2023-03-05,,,,90600
FL0269,Paul Moreau,Manufacturing,L2,Man,1993,2019-04-27,,,,99700
FL0270,Ifeoma Dubois,Manufacturing,L1,Woman,1992,2023-12-07,,,,74200
FL0271,Oscar Abara,Manufacturing,L2,Man,1997,2023-05-02,,,,85900
FL0272,Olivia Sato,Manufacturing,L1,Woman,1997,2021-10-16,,,,63100
FL0273,Mateo Larsen,Manufacturing,L4,Man,1977,2016-10-13,,,,142100
FL0274,Wei Dubois,Manufacturing,L6,Man,1982,2009-03-26,,,,256500
FL0275,Noah Rossi,Manufacturing,L6,Man,1971,2021-10-07,,,,278500
FL0276,Nadia Haddad,Manufacturing,L2,Woman,1999,2022-10-24,,,,84000
FL0277,Wei Moreau,Manufacturing,L3,Man,1982,2021-12-29,,,,105700
FL0278,Tomas Holm,Manufacturing,L3,Man,1979,2023-01-31,,,,107900
FL0279,Ifeoma Tanaka,Manufacturing,L3,Woman,1989,2014-10-04,,,,104100
FL0280,Tomas Abara,Manufacturing,L2,Man,1998,2022-01-25,,,,89600
FL0281,Ingrid Costa,Manufacturing,L1,Woman,1997,2023-07-12,,,,74100
FL0282,Mei Silva,Manufacturing,L2,Woman,1996,2023-09-29,,,,103400
FL0283,Oscar Patel,Manufacturing,L2,Man,1995,2024-05-25,,,,89500
FL0284,Noah Rossi,Manufacturing,L2,Man,1989,2023-08-28,,,,101400
FL0285,Noah Walsh,Manufacturing,L2,Man,1994,2017-06-07,,,,102100
FL0286,Yuki Patel,Manufacturing,L2,Woman,1994,2022-11-26,,,,91300
FL0287,Diego Mensah,Manufacturing,L1,Man,1993,2024-06-03,2025-08-11,Voluntary,Yes,76300
FL0288,Olivia Brennan,Manufacturing,L1,Woman,1994,2021-06-25,,,,62900
FL0289,Elena Kim,Manufacturing,L3,Woman,1984,2021-03-06,,,,103800
FL0290,Kenji Ortiz,Manufacturing,L3,Man,1995,2021-02-22,,,,133500
FL0291,Ruth Larsen,Manufacturing,L3,Woman,1982,2022-05-22,,,,108600
FL0292,Leah Tanaka,Manufacturing,L3,Woman,1994,2023-05-15,,,,109800
FL0293,Chloe Sato,Manufacturing,L5,Woman,1967,2008-02-02,,,,162300
FL0294,Ingrid Schmidt,Manufacturing,L2,Woman,1985,2020-05-25,,,,88100
FL0295,Diego Brennan,Manufacturing,L2,Man,2000,2023-05-01,2025-02-14,Involuntary,No,104200
FL0296,Ana Chen,Manufacturing,L1,Woman,2000,2023-03-11,,,,62300
FL0297,Lucia Iyer,Manufacturing,L1,Woman,2002,2024-06-14,2025-12-22,Voluntary,No,63800
FL0298,Sofia Nguyen,Manufacturing,L2,Woman,1987,2017-04-20,,,,81800
FL0299,Lucia Kim,Manufacturing,L1,Woman,1994,2022-01-08,2025-11-04,Voluntary,No,71000
FL0300,Leon Moreau,Manufacturing,L3,Man,1991,2016-02-06,,,,129500
FL0301,Zara Raman,Manufacturing,L2,Woman,1989,2022-02-04,,,,97500
FL0302,Ana Raman,Manufacturing,L2,Woman,1987,2023-07-31,,,,93000
FL0303,Leah Holm,Manufacturing,L3,Woman,1984,2022-07-25,,,,125600
FL0304,Wei Okafor,Manufacturing,L3,Man,1992,2022-05-28,2025-12-12,Voluntary,Yes,131000
FL0305,Omar Okafor,Manufacturing,L1,Man,1993,2021-09-23,2025-12-01,Involuntary,No,81100
FL0306,Mateo Holm,Manufacturing,L1,Man,1996,2021-06-14,,,,61300
FL0307,Diego Nguyen,Manufacturing,L2,Man,2000,2023-06-22,,,,84000
FL0308,Lucia Novak,Manufacturing,L2,Woman,1994,2020-03-26,,,,86000
FL0309,Daniel Novak,Manufacturing,L2,Man,1998,2020-12-04,,,,97800
FL0310,Ingrid Raman,Manufacturing,L1,Woman,1999,2023-06-27,,,,73200
FL0311,Keiko Dubois,Manufacturing,L3,Woman,1987,2015-03-09,2025-02-04,Voluntary,No,125000
FL0312,Maya Chen,Manufacturing,L3,Woman,1984,2014-03-11,,,,123900
FL0313,Amara Tanaka,Manufacturing,L2,Woman,1985,2018-07-03,,,,83000
FL0314,Yusuf Novak,Manufacturing,L1,Man,1995,2024-11-14,,,,75300
FL0315,Grace Lindqvist,Manufacturing,L3,Woman,1988,2020-04-19,,,,106900
FL0316,Wei Adeyemi,Manufacturing,L3,Man,1983,2018-06-15,,,,134200
FL0317,Olivia Schmidt,Manufacturing,L1,Woman,2003,2024-10-06,2025-04-04,Voluntary,Yes,72800
FL0318,Keiko Larsen,Manufacturing,L3,Woman,1995,2021-04-17,,,,119000
FL0319,Paul Dubois,Manufacturing,L5,Man,1976,2009-04-07,,,,176800
FL0320,James Dubois,Manufacturing,L6,Man,1969,2021-07-07,,,,255500
FL0321,Elena Kowalski,Manufacturing,L4,Woman,1984,2010-10-26,2025-11-28,Voluntary,No,153400
FL0322,Diego Kim,Manufacturing,L4,Man,1970,2022-09-29,2025-08-19,Voluntary,No,170700
FL0323,Kenji Kim,Manufacturing,L1,Man,1994,2023-01-10,,,,66000
FL0324,Oscar Iyer,Manufacturing,L5,Man,1973,2022-08-15,,,,201200
FL0325,Samuel Okafor,Manufacturing,L6,Man,1964,2009-10-08,,,,227400
FL0326,Felix Okafor,Manufacturing,L3,Man,1981,2020-07-06,,,,125000
FL0327,Lucia Kim,Manufacturing,L1,Woman,2001,2024-06-01,,,,67800
FL0328,Kofi Kowalski,Manufacturing,L2,Man,1993,2022-01-23,,,,79900
FL0329,Zara Kim,Manufacturing,L1,Woman,2003,2024-08-09,,,,73200
FL0330,Diego Chen,Manufacturing,L4,Man,1973,2017-01-20,2025-01-31,Voluntary,No,140200
FL0331,Aisha Okafor,Manufacturing,L3,Woman,1992,2021-01-25,,,,129100
FL0332,Lukas Costa,Manufacturing,L1,Man,1994,2024-04-27,2025-12-30,Voluntary,No,77000
FL0333,Zara Mensah,Manufacturing,L3,Woman,1980,2013-01-22,,,,122100
